"Komentar","Kategori","",""
"""CONGRATS KAK ISYAN semoga karya nya apa yg dilakukan kakak sukses teruss""","Non-bullying","",""
"""ORANG INI TERLIHAT SANGAT SANGAT STRES DAN GILA""","Bullying","",""
"""Gua kalai jadi tuhan gaakan gua jadiin dia ini manusia, lebih pante ga hidup ini orang di dunia, akhlaknya gaada tolol bangsat""","Bullying","",""
"""Biasa nya aq nangis kalo lagu nya seiihh, kalo sekarang nangis karna saking bagus nya lagu nya""","Non-bullying","",""
"""definisi minat ketemu bakat ketemu kerja keras""","Non-bullying","",""
"""@vnagstn astaga si isyana keren banget ini; bisa ada musisi lokal yang selera musiknya kayak gini""","Non-bullying","",""
"""MashaAllah… udh cantik, pinter, jago nyanyi dn mainin alat musik pula neng @isyanasarasvati ngefans bener ini mah""","Non-bullying","",""
"""Gilaaaa.. gila.. gilaaaa Tangan, kaki, ekspresi, n emosi tertuang adi suatu karya yg fantastis""","Non-bullying","",""
"""Gosh, tiap kali lihat isyana mainin alat musik kaya lihat jiwanya beda. Merinding gila. Kaya kepribadiannya jadi serius bangett""","Non-bullying","",""
"""Sumpah demi allah bagus bangett kereennn merinding ak nya.. dengerin sampe abis tiba2 aja ampe netesin air mata""","Non-bullying","",""
"""aku memutuskan untuk menjadi fans isyana. gila keren banget ya, otak mereka berdua bisa berfungsi dg menjalankan perintah ke tangan dan kaki, di waktu bersamaan""","Non-bullying","",""
"""AMZING ISYANAA!! Jujur aku amazed banget dengan skill dan minat Isyana dalam bermusik. Ga Cuma bernyanyi tapi main alat musik pun jago banget""","Non-bullying","",""
"""paling ngiri liat orang keren maen alat musik dan dalem banget nikmatin permainan sendiri""","Non-bullying","",""
"""Sampe ga bisa berkata2 lagi buat isyana, sangat2 sempurna org ini""","Non-bullying","",""
"""Inimah bukan main alat musik lagi. Olahraga jari dan kaki ini mah""","Non-bullying","",""
